lon,lat,jjii
125.075,18.5487,0184
125.467,18.4742,0185
125.857,18.3979,0186
126.247,18.3198,0187
126.636,18.24,0188
127.024,18.1584,0189
127.411,18.0752,0190
91.2997,18.4434,0200
91.6888,18.5273,0201
92.0788,18.6095,0202
92.4695,18.6899,0203
92.8611,18.7686,0204
93.2535,18.8455,0205
93.6468,18.9206,0206
94.0407,18.9939,0207
94.4355,19.0654,0208
94.8309,19.1351,0209
95.2271,19.203,0210
95.624,19.2691,0211
96.0215,19.3333,0212
96.4198,19.3957,0213
96.8187,19.4563,0214
97.2182,19.515,0215
97.6183,19.5719,0216
98.019,19.6268,0217
98.4203,19.68,0218
98.8222,19.7312,0219
99.2245,19.7805,0220
99.6275,19.828,0221
100.031,19.8736,0222
100.435,19.9173,0223
100.839,19.959,0224
101.244,19.9989,0225
101.649,20.0368,0226
102.055,20.0728,0227
102.461,20.1069,0228
102.867,20.1391,0229
103.274,20.1694,0230
103.681,20.1977,0231
104.088,20.224,0232
104.495,20.2485,0233
104.903,20.271,0234
105.311,20.2915,0235
105.72,20.3101,0236
106.128,20.3267,0237
106.537,20.3414,0238
106.945,20.3541,0239
107.354,20.3649,0240
107.763,20.3737,0241
108.172,20.3806,0242
108.582,20.3855,0243
108.991,20.3884,0244
109.4,20.3894,0245
109.809,20.3884,0246
110.218,20.3855,0247
110.628,20.3806,0248
111.037,20.3737,0249
111.446,20.3649,0250
111.855,20.3541,0251
112.263,20.3414,0252
112.672,20.3267,0253
113.08,20.3101,0254
113.489,20.2915,0255
113.897,20.271,0256
114.305,20.2485,0257
114.712,20.224,0258
115.119,20.1977,0259
115.526,20.1694,0260
115.933,20.1391,0261
116.339,20.1069,0262
116.745,20.0728,0263
117.151,20.0368,0264
117.556,19.9989,0265
117.961,19.959,0266
118.365,19.9173,0267
118.769,19.8736,0268
119.173,19.828,0269
119.575,19.7805,0270
119.978,19.7312,0271
120.38,19.68,0272
120.781,19.6268,0273
121.182,19.5719,0274
121.582,19.515,0275
121.981,19.4563,0276
122.38,19.3957,0277
122.778,19.3333,0278
123.176,19.2691,0279
123.573,19.203,0280
123.969,19.1351,0281
124.365,19.0654,0282
124.759,18.9939,0283
125.153,18.9206,0284
125.546,18.8455,0285
125.939,18.7686,0286
126.33,18.6899,0287
126.721,18.6095,0288
127.111,18.5273,0289
127.5,18.4434,0290
91.2099,18.8125,0300
91.6008,18.8971,0301
91.9926,18.9799,0302
92.3852,19.061,0303
92.7786,19.1402,0304
93.1729,19.2177,0305
93.5679,19.2934,0306
93.9637,19.3672,0307
94.3604,19.4393,0308
94.7577,19.5095,0309
95.1558,19.578,0310
95.5546,19.6445,0311
95.9541,19.7093,0312
96.3543,19.7721,0313
96.7551,19.8332,0314
97.1566,19.8923,0315
97.5587,19.9496,0316
97.9614,20.005,0317
98.3646,20.0586,0318
98.7685,20.1102,0319
99.1729,20.1599,0320
99.5778,20.2078,0321
99.9832,20.2537,0322
100.389,20.2977,0323
